和名,英名
1000まんボルト,"10,000,000 Volt Thunderbolt"
10まんばりき,High Horsepower
10まんボルト,Thunderbolt
3ぼんのや,Triple Arrows
DDラリアット,Darkest Lariat
Gのちから,Grav Apple
Vジェネレート,V-create
アイアンテール,Iron Tail
アイアンヘッド,Iron Head
アイアンローラー,Steel Roller
アイススピナー,Ice Spinner
アイスハンマー,Ice Hammer
アイスボール,Ice Ball
あおいほのお,Blue Flare
アクアカッター,Aqua Cutter
アクアジェット,Aqua Jet
アクアステップ,Aqua Step
アクアテール,Aqua Tail
アクアブレイク,Liquidation
アクアリング,Aqua Ring
あくうせつだん,Spacial Rend
アクセルブレイク,Collision Course
アクセルロック,Accelerock
あくのはどう,Dark Pulse
あくび,Yawn
あくまのキッス,Lovely Kiss
あくむ,Nightmare
アクロバット,Acrobatics
あさのひざし,Morning Sun
アシストギア,Gear Up
アシストパワー,Stored Power
アシッドポイズンデリート,Acid Downpour
アシッドボム,Acid Spray
アストラルビット,Astral Barrage
あてみなげ,Vital Throw
あなをほる,Dig
あばれる,Thrash
アフロブレイク,Head Charge
あまいかおり,Sweet Scent
あまえる,Charm
アーマーキャノン,Armor Cannon
あまごい,Rain Dance
アームハンマー,Hammer Arm
あやしいかぜ,Ominous Wind
あやしいひかり,Confuse Ray
あられ,Hail
アルティメットドラゴンバーン,Devastating Drake
アロマセラピー,Aromatherapy
アロマミスト,Aromatic Mist
あわ,Bubble
アンカーショット,Anchor Shot
あんこくきょうだ,Wicked Blow
アンコール,Encore
いあいぎり,Cut
いえき,Gastro Acid
イカサマ,Foul Play
いかり,Rage
いかりのこな,Rage Powder
いかりのまえば,Super Fang
いきいきバブル,Bouncy Bubble
いじげんホール,Hyperspace Hole
いじげんラッシュ,Hyperspace Fury
いたみわけ,Pain Split
いちゃもん,Torment
いっちょうあがり,Order Up
いてつくしせん,Freezing Glare
いとをはく,String Shot
イナズマドライブ,Electro Drift
いにしえのうた,Relic Song
いのちがけ,Final Gambit
いのちのしずく,Life Dew
いばる,Swagger
いびき,Snore
いやしのすず,Heal Bell
いやしのねがい,Healing Wish
いやしのはどう,Heal Pulse
いやなおと,Screech
いわおとし,Rock Throw
いわくだき,Rock Smash
いわなだれ,Rock Slide
インファイト,Close Combat
ウェザーボール,Weather Ball
ウェーブタックル,Wave Crash
うずしお,Whirlpool
うそなき,Fake Tears
うたう,Sing
うたかたのアリア,Sparkling Aria
うちおとす,Smack Down
うつしえ,Doodle
ウッドハンマー,Wood Hammer
ウッドホーン,Horn Leech
うっぷんばらし,Lash Out
うらみ,Spite
うらみつらみ,Bitter Malice
ウルトラダッシュアタック,Breakneck Blitz
エアカッター,Air Cutter
エアスラッシュ,Air Slash
エアロブラスト,Aeroblast
エコーボイス,Echoed Voice
えだづき,Branch Poke
エナジーボール,Energy Ball
エラがみ,Fishious Rend
エレキネット,Electroweb
エレキフィールド,Electric Terrain
エレキボール,Electro Ball
エレクトロビーム,Electro Shot
えんまく,Smokescreen
おいうち,Pursuit
おいかぜ,Tailwind
おいわい,Celebrate
おうふくビンタ,Double Slap
オウムがえし,Mirror Move
おかたづけ,Tidy Up
おきみやげ,Memento
オクタンほう,Octazooka
おさきにどうぞ,After You
おしおき,Punishment
おしゃべり,Chatter
おたけび,Noble Roar
おだてる,Flatter
おちゃかい,Teatime
おどろかす,Astonish
おにび,Will-O-Wisp
おはかまいり,Last Respects
オーバードライブ,Overdrive
オーバーヒート,Overheat
おまじない,Lucky Chant
オーラウイング,Esper Wing
オーラぐるま,Aura Wheel
オリジンズスーパーノヴァ,Genesis Supernova
オーロラビーム,Aurora Beam
オーロラベール,Aurora Veil
おんがえし,Return
おんねん,Grudge
かいでんぱ,Eerie Impulse
かいふくしれい,Heal Order
かいふくふうじ,Heal Block
かいりき,Strength
カウンター,Counter
かえんぐるま,Flame Wheel
かえんだん,Searing Shot
かえんのまもり,Burning Bulwark
かえんほうしゃ,Flamethrower
かえんボール,Pyro Ball
かかとおとし,Axe Kick
かぎわける,Odor Sleuth
かくばる,Sharpen
かげうち,Shadow Sneak
かげぬい,Spirit Shackle
かげぶんしん,Double Team
かぜおこし,Gust
かたきうち,Retaliate
かたくなる,Harden
カタストロフィ,Ruination
ガーディアン・デ・アローラ,Guardian of Alola
ガードシェア,Guard Split
ガードスワップ,Guard Swap
かなしばり,Disable
かふんだんご,Pollen Puff
かまいたち,Razor Wind
がまん,Bide
かみくだく,Crunch
かみつく,Bite
かみなり,Thunder
かみなりあらし,Wildbolt Storm
かみなりのキバ,Thunder Fang
かみなりパンチ,Thunder Punch
がむしゃら,Endeavor
からげんき,Facade
からてチョップ,Karate Chop
からではさむ,Clamp
からにこもる,Withdraw
からみつく,Constrict
からをやぶる,Shell Smash
ガリョウテンセイ,Dragon Ascent
かわらわり,Brick Break
がんせきアックス,Stone Axe
がんせきふうじ,Rock Tomb
がんせきほう,Rock Wrecker
きあいだま,Focus Blast
きあいだめ,Focus Energy
きあいパンチ,Focus Punch
ギアソーサー,Gear Grind
ギアチェンジ,Shift Gear
ギガインパクト,Giga Impact
ギガドレイン,Giga Drain
きしかいせい,Reversal
きつけ,Smelling Salts
キノコのほうし,Spore
ギフトパス,Bestow
きまぐレーザー,Fickle Beam
きゅうけつ,Leech Life
きょけんとつげき,Glaive Rush
きょじゅうざん,Behemoth Blade
きょじゅうだん,Behemoth Bash
キョダイイチゲキ,G-Max One Blow
キョダイカキュウ,G-Max Fireball
キョダイガンジン,G-Max Stonesurge
キョダイカンデン,G-Max Stun Shock
キョダイカンロ,G-Max Sweetness
キョダイゲンエイ,G-Max Terror
キョダイゲンスイ,G-Max Depletion
キョダイコウジン,G-Max Steelsurge
キョダイゴクエン,G-Max Wildfire
キョダイコバン,G-Max Gold Rush
キョダイコランダ,G-Max Drum Solo
キョダイコワク,G-Max Befuddle
キョダイサイセイ,G-Max Replenish
キョダイサジン,G-Max Sandblast
キョダイサンゲキ,G-Max Tartness
キョダイシュウキ,G-Max Malodor
キョダイシンゲキ,G-Max Chi Strike
キョダイスイマ,G-Max Snooze
キョダイセンリツ,G-Max Resonance
キョダイソゲキ,G-Max Hydrosnipe
キョダイダンエン,G-Max Finale
キョダイテンドウ,G-Max Gravitas
キョダイテンバツ,G-Max Smite
キョダイバンライ,G-Max Volt Crash
キョダイヒャッカ,G-Max Centiferno
キョダイフウゲキ,G-Max Wind Rage
キョダイフンセキ,G-Max Volcalith
キョダイベンタツ,G-Max Vine Lash
キョダイホウゲキ,G-Max Cannonade
キョダイホウマツ,G-Max Foam Burst
キョダイホーヨー,G-Max Cuddle
キョダイユウゲキ,G-Max Meltdown
キョダイレンゲキ,G-Max Rapid Flow
きらきらストーム,Sparkly Swirl
キラースピン,Mortal Spin
きりさく,Slash
きりばらい,Defog
きりふだ,Trump Card
ぎんいろのかぜ,Silver Wind
キングシールド,King's Shield
きんぞくおん,Metal Sound
クイックターン,Flip Turn
くさのちかい,Grass Pledge
くさぶえ,Grass Whistle
くさむすび,Grass Knot
くさわけ,Trailblaze
くすぐる,Tickle
くちばしキャノン,Beak Blast
クモのす,Spider Web
くらいつく,Jaw Lock
グラススライダー,Grassy Glide
グラスフィールド,Grassy Terrain
グラスミキサー,Leaf Tornado
クラブハンマー,Crabhammer
グランドフォース,Land's Wrath
クリアスモッグ,Clear Smog
くろいきり,Haze
くろいまなざし,Mean Look
グロウパンチ,Power-Up Punch
クロスサンダー,Fusion Bolt
クロスチョップ,Cross Chop
クロスフレイム,Fusion Flare
クロスポイズン,Cross Poison
クロロブラスト,Chloroblast
げきりん,Outrage
けたぐり,Low Kick
ゲップ,Belch
げんしのちから,Ancient Power
コアパニッシャー,Core Enforcer
こうげきしれい,Attack Order
こうごうせい,Synthesis
こうそくいどう,Agility
こうそくスピン,Rapid Spin
こおりのいぶき,Frost Breath
こおりのキバ,Ice Fang
こおりのつぶて,Ice Shard
こがらしあらし,Bleakwind Storm
こごえるかぜ,Icy Wind
こごえるせかい,Glaciate
こころのめ,Mind Reader
ゴーストダイブ,Phantom Force
コスモパワー,Cosmic Power
こちこちフロスト,Freezy Frost
コーチング,Coaching
ゴッドバード,Sky Attack
コットンガード,Cotton Guard
コートチェンジ,Court Change
こなゆき,Powder Snow
このは,Leafage
このゆびとまれ,Follow Me
コメットパンチ,Meteor Mash
こらえる,Endure
コールドフレア,Ice Burn
ゴールドラッシュ,Make It Rain
ころがる,Rollout
こわいかお,Scary Face
こんげんのはどう,Origin Pulse
さいきのいのり,Revival Blessing
サイケこうせん,Psybeam
サイコウェーブ,Psywave
サイコカッター,Psycho Cut
サイコキネシス,Psychic
サイコシフト,Psycho Shift
サイコショック,Psyshock
サイコノイズ,Psychic Noise
サイコファング,Psychic Fangs
サイコフィールド,Psychic Terrain
サイコブースト,Psycho Boost
サイコブレイク,Psystrike
サイコブレイド,Psyblade
サイドチェンジ,Ally Switch
さいはい,Instruct
さいみんじゅつ,Hypnosis
サウザンアロー,Thousand Arrows
サウザンウェーブ,Thousand Waves
さきおくり,Quash
さきどり,Me First
さしおさえ,Embargo
さばきのつぶて,Judgment
ざぶざぶサーフ,Splishy Splash
さむいギャグ,Chilly Reception
さわぐ,Uproar
サンシャインスマッシャー,Searing Sunraze Smash
サンダーダイブ,Supercell Slam
サンダープリズン,Thunder Cage
ジェットパンチ,Jet Punch
シェルアームズ,Shell Side Arm
シェルブレード,Razor Shell
ジオコントロール,Geomancy
しおづけ,Salt Cure
しおふき,Water Spout
しおみず,Brine
シグナルビーム,Signal Beam
じこあんじ,Psych Up
じごくぐるま,Submission
じごくづき,Throat Chop
じこさいせい,Recover
シザークロス,X-Scissor
じしん,Earthquake
しぜんのいかり,Nature's Madness
しぜんのちから,Nature Power
しぜんのめぐみ,Natural Gift
したでなめる,Lick
じたばた,Flail
じだんだ,Stomping Tantrum
しちせいだっこんたい,Soul-Stealing 7-Star Strike
しっとのほのお,Burning Jealousy
しっぺがえし,Payback
しっぽきり,Shed Tail
しっぽをふる,Tail Whip
シードフレア,Seed Flare
じならし,Bulldoze
しねんのずつき,Zen Headbutt
じばく,Self-Destruct
じばそうさ,Magnetic Flux
しびれごな,Stun Spore
しぼりとる,Wring Out
しめつける,Bind
ジャイロボール,Gyro Ball
シャカシャカほう,Matcha Gotcha
シャドーアローズストライク,Sinister Arrow Raid
じゃどくのくさり,Malignant Chain
シャドークロー,Shadow Claw
シャドースチール,Spectral Thief
シャドーダイブ,Shadow Force
シャドーパンチ,Shadow Punch
シャドーボール,Shadow Ball
シャドーボーン,Shadow Bone
シャドーレイ,Moongeist Beam
じゃれつく,Play Rough
ジャングルヒール,Jungle Healing
じゅうでん,Charge
じゅうりょく,Gravity
じょうか,Purify
しょうりのまい,Victory Dance
しろいきり,Mist
じわれ,Fissure
しんくうは,Vacuum Wave
シンクロノイズ,Synchronoise
しんそく,Extreme Speed
じんつうりき,Extrasensory
しんぴのちから,Mystical Power
しんぴのつるぎ,Secret Sword
しんぴのまもり,Safeguard
シンプルビーム,Simple Beam
じんらい,Thunderclap
すいとる,Absorb
スイープビンタ,Tail Slap
すいりゅうれんだ,Surging Strikes
スカイアッパー,Sky Uppercut
スキルスワップ,Skill Swap
すくすくボンバー,Sappy Seed
スケイルショット,Scale Shot
スケイルノイズ,Clanging Scales
スケッチ,Sketch
スターアサルト,Meteor Assault
スチームバースト,Steam Eruption
ずつき,Headbutt
すてゼリフ,Parting Shot
すてみタックル,Double-Edge
ステルスロック,Stealth Rock
ストーンエッジ,Stone Edge
すなあつめ,Shore Up
すなあらし,Sandstorm
すなかけ,Sand Attack
すなじごく,Sand Tomb
スーパーアクアトルネード,Hydro Vortex
スパーキングギガボルト,Gigavolt Havoc
スパーク,Spark
スピードスター,Swift
スピードスワップ,Speed Swap
スプーンまげ,Kinesis
スポットライト,Spotlight
スマートホーン,Smart Strike
スモッグ,Smog
すりかえ,Switcheroo
スレッドトラップ,Silk Trap
せいちょう,Growth
せいなるつるぎ,Sacred Sword
せいなるほのお,Sacred Fire
ぜったいほしょくかいてんざん,Savage Spin-Out
ぜったいれいど,Sheer Cold
ぜんりょくむそうげきれつけん,All-Out Pummeling
そうでん,Electrify
ソウルクラッシュ,Spirit Break
ソウルビート,Clangorous Soul
ソニックブーム,Sonic Boom
ソーラービーム,Solar Beam
ソーラーブレード,Solar Blade
そらをとぶ,Fly
ダイアイス,Max Hailstorm
ダイアーク,Max Darkness
ダイアシッド,Max Ooze
ダイアース,Max Quake
ダイアタック,Max Strike
たいあたり,Tackle
ダイウォール,Max Guard
ダイサイコ,Max Mindstorm
ダイサンダー,Max Lightning
ダイジェット,Max Airstream
ダイスチル,Max Steelspike
ダイストリーム,Max Geyser
ダイソウゲン,Max Overgrowth
だいちのちから,Earth Power
だいちのはどう,Terrain Pulse
ダイドラグーン,Max Wyrmwind
ダイナックル,Max Knuckle
ダイナミックフルフレイム,Inferno Overdrive
だいばくはつ,Explosion
ダイバーン,Max Flare
ダイビング,Dive
ダイフェアリー,Max Starfall
だいふんげき,Raging Fury
ダイホロウ,Max Phantasm
ダイマックスほう,Dynamax Cannon
だいもんじ,Fire Blast
ダイヤストーム,Diamond Storm
ダイロック,Max Rockfall
ダイワーム,Max Flutterby
たがやす,Rototiller
タキオンカッター,Tachyon Cutter
たきのぼり,Waterfall
ダークアクセル,Wicked Torque
ダークホール,Dark Void
だくりゅう,Muddy Water
たくわえる,Stockpile
たこがため,Octolock
ダストシュート,Gunk Shot
たたきつける,Slam
たたみがえし,Mat Block
たたりめ,Hex
たつまき,Twister
たてこもる,Shelter
タネばくだん,Seed Bomb
タネマシンガン,Bullet Seed
ダブルアタック,Double Hit
ダブルウイング,Dual Wingbeat
ダブルチョップ,Dual Chop
ダブルニードル,Twineedle
ダブルパンツァー,Double Iron Bash
タマゴうみ,Soft-Boiled
タマゴばくだん,Egg Bomb
だましうち,Feint Attack
たまなげ,Barrage
ダメおし,Assurance
タールショット,Tar Shot
だんがいのつるぎ,Precipice Blades
ちいさくなる,Minimize
ちからをすいとる,Strength Sap
ちきゅうなげ,Seismic Toss
チャージビーム,Charge Beam
チャームボイス,Disarming Voice
ちょうおんぱ,Supersonic
ちょうぜつらせんれんげき,Corkscrew Crash
ちょうのまい,Quiver Dance
ちょうはつ,Taunt
ついばむ,Pluck
ツインビーム,Twin Beam
つきのひかり,Moonlight
つけあがる,Power Trip
つじぎり,Night Slash
ツタこんぼう,Ivy Cudgel
つつく,Peck
つっぱり,Arm Thrust
つのでつく,Horn Attack
つのドリル,Horn Drill
つばさでうつ,Wing Attack
つばめがえし,Aerial Ace
つぶらなひとみ,Baby-Doll Eyes
つぼをつく,Acupressure
つめとぎ,Hone Claws
つららおとし,Icicle Crash
つららばり,Icicle Spear
つるぎのまい,Swords Dance
つるのムチ,Vine Whip
であいがしら,First Impression
てかげん,Hold Back
デカハンマー,Gigaton Hammer
テクスチャー,Conversion
テクスチャー2,Conversion 2
テクノバスター,Techno Blast
デコレーション,Decorate
デスウイング,Oblivion Wing
てだすけ,Helping Hand
てっていこうせん,Steel Beam
てっぺき,Iron Defense
テラクラスター,Tera Starstorm
テラバースト,Tera Blast
テレキネシス,Telekinesis
テレポート,Teleport
てをつなぐ,Hold Hands
でんきショック,Thunder Shock
でんげきくちばし,Bolt Beak
でんげきは,Shock Wave
でんこうせっか,Quick Attack
でんこうそうげき,Double Shock
てんこがすめつぼうのひかり,Light That Burns the Sky
てんしのキッス,Sweet Kiss
でんじは,Thunder Wave
でんじふゆう,Magnet Rise
でんじほう,Zap Cannon
とおせんぼう,Block
とおぼえ,Howl
とぎすます,Laser Focus
ときのほうこう,Roar of Time
どくガス,Poison Gas
どくづき,Poison Jab
どくどく,Toxic
どくどくのキバ,Poison Fang
どくのいと,Toxic Thread
どくのこな,Poison Powder
どくばり,Poison Sting
どくばりセンボン,Barb Barrage
どくびし,Toxic Spikes
とぐろをまく,Coil
とげキャノン,Spike Cannon
どげざつき,False Surrender
ドゲザン,Kowtow Cleave
とける,Acid Armor
トーチカ,Baneful Bunker
とっしん,Take Down
とっておき,Last Resort
とどめばり,Fell Stinger
どばどばオーラ,Glitzy Glow
とびかかる,Lunge
とびげり,Jump Kick
とびつく,Pounce
とびはねる,Bounce
とびひざげり,High Jump Kick
ともえなげ,Circle Throw
トライアタック,Tri Attack
ドラゴンアロー,Dragon Darts
ドラゴンエナジー,Dragon Energy
ドラゴンエール,Dragon Cheer
ドラゴンクロー,Dragon Claw
ドラゴンダイブ,Dragon Rush
ドラゴンテール,Dragon Tail
ドラゴンハンマー,Dragon Hammer
トラップシェル,Shell Trap
トラバサミ,Snap Trap
ドラムアタック,Drum Beating
トリック,Trick
トリックガード,Crafty Shield
トリックフラワー,Flower Trick
トリックルーム,Trick Room
トリプルアクセル,Triple Axel
トリプルキック,Triple Kick
トリプルダイブ,Triple Dive
ドリルくちばし,Drill Peck
ドリルライナー,Drill Run
ドレインキッス,Draining Kiss
ドレインパンチ,Drain Punch
どろあそび,Mud Sport
どろかけ,Mud-Slap
どろばくだん,Mud Bomb
トロピカルキック,Trop Kick
